OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25,30,-1,1,0.994079
L,wcharm,central,4,0.0,2.5,30,50,-1,1,1.012779
L,wcharm,central,4,0.0,2.5,50,70,-1,1,1.039393
L,wcharm,central,4,0.0,2.5,70,100,-1,1,1.045916
L,wcharm,central,4,0.0,2.5,100,130,-1,1,0.999465
L,wcharm,central,4,0.0,2.5,130,160,-1,1,0.991741
L,wcharm,central,4,0.0,2.5,160,250,-1,1,1.029848
L,wcharm,down,4,0.0,2.5,25,30,-1,1,0.9660030000000001
L,wcharm,down,4,0.0,2.5,30,50,-1,1,0.9952700000000001
L,wcharm,down,4,0.0,2.5,50,70,-1,1,1.010914
L,wcharm,down,4,0.0,2.5,70,100,-1,1,1.002949
L,wcharm,down,4,0.0,2.5,100,130,-1,1,0.9181330000000001
L,wcharm,down,4,0.0,2.5,130,160,-1,1,0.8299559999999999
L,wcharm,down,4,0.0,2.5,160,250,-1,1,0.7721210000000001
L,wcharm,up,4,0.0,2.5,25,30,-1,1,1.0221550000000001
L,wcharm,up,4,0.0,2.5,30,50,-1,1,1.030288
L,wcharm,up,4,0.0,2.5,50,70,-1,1,1.067872
L,wcharm,up,4,0.0,2.5,70,100,-1,1,1.088883
L,wcharm,up,4,0.0,2.5,100,130,-1,1,1.080797
L,wcharm,up,4,0.0,2.5,130,160,-1,1,1.153526
L,wcharm,up,4,0.0,2.5,160,250,-1,1,1.2875750000000001
M,wcharm,central,4,0.0,2.5,25,30,-1,1,0.994432
M,wcharm,central,4,0.0,2.5,30,50,-1,1,1.019441
M,wcharm,central,4,0.0,2.5,50,70,-1,1,1.049665
M,wcharm,central,4,0.0,2.5,70,100,-1,1,1.097455
M,wcharm,central,4,0.0,2.5,100,130,-1,1,0.997805
M,wcharm,central,4,0.0,2.5,130,160,-1,1,0.926999
M,wcharm,central,4,0.0,2.5,160,250,-1,1,1.022339
M,wcharm,down,4,0.0,2.5,25,30,-1,1,0.954434
M,wcharm,down,4,0.0,2.5,30,50,-1,1,0.99367
M,wcharm,down,4,0.0,2.5,50,70,-1,1,1.014802
M,wcharm,down,4,0.0,2.5,70,100,-1,1,1.044991
M,wcharm,down,4,0.0,2.5,100,130,-1,1,0.9126860000000001
M,wcharm,down,4,0.0,2.5,130,160,-1,1,0.770948
M,wcharm,down,4,0.0,2.5,160,250,-1,1,0.7652540000000001
M,wcharm,up,4,0.0,2.5,25,30,-1,1,1.03443
M,wcharm,up,4,0.0,2.5,30,50,-1,1,1.045212
M,wcharm,up,4,0.0,2.5,50,70,-1,1,1.0845280000000002
M,wcharm,up,4,0.0,2.5,70,100,-1,1,1.1499190000000001
M,wcharm,up,4,0.0,2.5,100,130,-1,1,1.082924
M,wcharm,up,4,0.0,2.5,130,160,-1,1,1.08305
M,wcharm,up,4,0.0,2.5,160,250,-1,1,1.2794240000000001
T,wcharm,central,4,0.0,2.5,25,30,-1,1,1.032787
T,wcharm,central,4,0.0,2.5,30,50,-1,1,1.035922
T,wcharm,central,4,0.0,2.5,50,70,-1,1,1.05016
T,wcharm,central,4,0.0,2.5,70,100,-1,1,1.129377
T,wcharm,central,4,0.0,2.5,100,130,-1,1,1.025138
T,wcharm,central,4,0.0,2.5,130,160,-1,1,0.901094
T,wcharm,central,4,0.0,2.5,160,250,-1,1,1.004283
T,wcharm,down,4,0.0,2.5,25,30,-1,1,0.9666789999999998
T,wcharm,down,4,0.0,2.5,30,50,-1,1,1.001896
T,wcharm,down,4,0.0,2.5,50,70,-1,1,1.009201
T,wcharm,down,4,0.0,2.5,70,100,-1,1,1.06993
T,wcharm,down,4,0.0,2.5,100,130,-1,1,0.9257920000000001
T,wcharm,down,4,0.0,2.5,130,160,-1,1,0.734517
T,wcharm,down,4,0.0,2.5,160,250,-1,1,0.7343280000000001
T,wcharm,up,4,0.0,2.5,25,30,-1,1,1.098895
T,wcharm,up,4,0.0,2.5,30,50,-1,1,1.0699480000000001
T,wcharm,up,4,0.0,2.5,50,70,-1,1,1.091119
T,wcharm,up,4,0.0,2.5,70,100,-1,1,1.188824
T,wcharm,up,4,0.0,2.5,100,130,-1,1,1.124484
T,wcharm,up,4,0.0,2.5,130,160,-1,1,1.067671
T,wcharm,up,4,0.0,2.5,160,250,-1,1,1.274238
L,wcharm,central,5,0.0,2.5,25,30,-1,1,0.994079
L,wcharm,central,5,0.0,2.5,30,50,-1,1,1.012779
L,wcharm,central,5,0.0,2.5,50,70,-1,1,1.039393
L,wcharm,central,5,0.0,2.5,70,100,-1,1,1.045916
L,wcharm,central,5,0.0,2.5,100,130,-1,1,0.999465
L,wcharm,central,5,0.0,2.5,130,160,-1,1,0.991741
L,wcharm,central,5,0.0,2.5,160,250,-1,1,1.029848
L,wcharm,down,5,0.0,2.5,25,30,-1,1,0.9379270000000001
L,wcharm,down,5,0.0,2.5,30,50,-1,1,0.9777610000000001
L,wcharm,down,5,0.0,2.5,50,70,-1,1,0.9824350000000001
L,wcharm,down,5,0.0,2.5,70,100,-1,1,0.9599820000000001
L,wcharm,down,5,0.0,2.5,100,130,-1,1,0.836801
L,wcharm,down,5,0.0,2.5,130,160,-1,1,0.668171
L,wcharm,down,5,0.0,2.5,160,250,-1,1,0.5143940000000001
L,wcharm,up,5,0.0,2.5,25,30,-1,1,1.0502310000000001
L,wcharm,up,5,0.0,2.5,30,50,-1,1,1.047797
L,wcharm,up,5,0.0,2.5,50,70,-1,1,1.096351
L,wcharm,up,5,0.0,2.5,70,100,-1,1,1.13185
L,wcharm,up,5,0.0,2.5,100,130,-1,1,1.162129
L,wcharm,up,5,0.0,2.5,130,160,-1,1,1.315311
L,wcharm,up,5,0.0,2.5,160,250,-1,1,1.545302
M,wcharm,central,5,0.0,2.5,25,30,-1,1,0.994432
M,wcharm,central,5,0.0,2.5,30,50,-1,1,1.019441
M,wcharm,central,5,0.0,2.5,50,70,-1,1,1.049665
M,wcharm,central,5,0.0,2.5,70,100,-1,1,1.097455
M,wcharm,central,5,0.0,2.5,100,130,-1,1,0.997805
M,wcharm,central,5,0.0,2.5,130,160,-1,1,0.926999
M,wcharm,central,5,0.0,2.5,160,250,-1,1,1.022339
M,wcharm,down,5,0.0,2.5,25,30,-1,1,0.914436
M,wcharm,down,5,0.0,2.5,30,50,-1,1,0.9678990000000001
M,wcharm,down,5,0.0,2.5,50,70,-1,1,0.9799390000000001
M,wcharm,down,5,0.0,2.5,70,100,-1,1,0.992527
M,wcharm,down,5,0.0,2.5,100,130,-1,1,0.827567
M,wcharm,down,5,0.0,2.5,130,160,-1,1,0.614897
M,wcharm,down,5,0.0,2.5,160,250,-1,1,0.5081690000000001
M,wcharm,up,5,0.0,2.5,25,30,-1,1,1.074428
M,wcharm,up,5,0.0,2.5,30,50,-1,1,1.070983
M,wcharm,up,5,0.0,2.5,50,70,-1,1,1.119391
M,wcharm,up,5,0.0,2.5,70,100,-1,1,1.202383
M,wcharm,up,5,0.0,2.5,100,130,-1,1,1.168043
M,wcharm,up,5,0.0,2.5,130,160,-1,1,1.239101
M,wcharm,up,5,0.0,2.5,160,250,-1,1,1.5365090000000001
T,wcharm,central,5,0.0,2.5,25,30,-1,1,1.032787
T,wcharm,central,5,0.0,2.5,30,50,-1,1,1.035922
T,wcharm,central,5,0.0,2.5,50,70,-1,1,1.05016
T,wcharm,central,5,0.0,2.5,70,100,-1,1,1.129377
T,wcharm,central,5,0.0,2.5,100,130,-1,1,1.025138
T,wcharm,central,5,0.0,2.5,130,160,-1,1,0.901094
T,wcharm,central,5,0.0,2.5,160,250,-1,1,1.004283
T,wcharm,down,5,0.0,2.5,25,30,-1,1,0.9005709999999999
T,wcharm,down,5,0.0,2.5,30,50,-1,1,0.96787
T,wcharm,down,5,0.0,2.5,50,70,-1,1,0.9682419999999999
T,wcharm,down,5,0.0,2.5,70,100,-1,1,1.010483
T,wcharm,down,5,0.0,2.5,100,130,-1,1,0.8264460000000001
T,wcharm,down,5,0.0,2.5,130,160,-1,1,0.5679399999999999
T,wcharm,down,5,0.0,2.5,160,250,-1,1,0.46437300000000004
T,wcharm,up,5,0.0,2.5,25,30,-1,1,1.165003
T,wcharm,up,5,0.0,2.5,30,50,-1,1,1.103974
T,wcharm,up,5,0.0,2.5,50,70,-1,1,1.132078
T,wcharm,up,5,0.0,2.5,70,100,-1,1,1.2482710000000001
T,wcharm,up,5,0.0,2.5,100,130,-1,1,1.2238300000000002
T,wcharm,up,5,0.0,2.5,130,160,-1,1,1.234248
T,wcharm,up,5,0.0,2.5,160,250,-1,1,1.544193
L,incl,central,0,0.0,2.5,20,1000,0,1,0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x--12.5644)*(x--12.5644)) 
L,incl,down,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.0289817+-1.18787e-07*x+-1.89502e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.0284318+-1.38544e-07*x+-1.73283e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1-(0.00563793)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.0289817+-1.18787e-07*x+-1.89502e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.0284318+-1.38544e-07*x+-1.73283e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.978708+20.0544/x+258.208/(x*x)+-1685.01/((x- -12.5644)*(x- -12.5644)))*(1+(0.00563793)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0843237+4.86535e-06*x+-1.40918e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0833127+4.9456e-06*x+-1.43192e-08*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1-(0.0131287)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0843237+4.86535e-06*x+-1.40918e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0833127+4.9456e-06*x+-1.43192e-08*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.25733+3.12021e-05*x+-1.22402e-07*x*x+-2.65201/x)*(1+(0.0131287)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x 
T,incl,down,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.158654+0.000101332*x+-1.32546e-07*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.155219+0.000102961*x+-1.34996e-07*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1-(0.0335774)) 
T,incl,up,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.158654+0.000101332*x+-1.32546e-07*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.155219+0.000102961*x+-1.34996e-07*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.24249+0.000710784*x+-4.74072e-07*x*x+3.50092/x)*(1+(0.0335774)) 
